Year,Age Group,Sex,"Death Rate Per 100,000"
1990,All ages,Male,2092.10
1990,All ages,Female,1575.90
1990,All ages,Both,1830.70
2000,0-6 days,Male,118085.50
2000,0-6 days,Female,102018.10
2000,0-6 days,Both,110175.40
2000,7-27 days,Male,28072.40
2000,7-27 days,Female,25192.20
2000,7-27 days,Both,26652.40
2000,28-364 days,Male,6030.80
2000,28-364 days,Female,5050.90
2000,28-364 days,Both,5547.40
2000,1-4 years,Male,2684.90
2000,1-4 years,Female,2012.50
2000,1-4 years,Both,2351.40
2000,5-9 years,Male,229.60
2000,5-9 years,Female,187.00
2000,5-9 years,Both,208.20
2000,10-14 years,Male,171.40
2000,10-14 years,Female,145.20
2000,10-14 years,Both,158.20
2000,15-19 years,Male,309.70
2000,15-19 years,Female,246.00
2000,15-19 years,Both,277.60
2000,20-24 years,Male,523.80
2000,20-24 years,Female,415.90
2000,20-24 years,Both,469.50
2000,25-29 years,Male,658.90
2000,25-29 years,Female,550.20
2000,25-29 years,Both,603.90
2000,30-34 years,Male,805.30
2000,30-34 years,Female,643.00
2000,30-34 years,Both,722.90
2000,35-39 years,Male,1078.00
2000,35-39 years,Female,815.70
2000,35-39 years,Both,944.00
2000,40-44 years,Male,1319.60
2000,40-44 years,Female,849.10
2000,40-44 years,Both,1077.50
2000,45-49 years,Male,1708.50
2000,45-49 years,Female,988.00
2000,45-49 years,Both,1334.40
2000,50-54 years,Male,2283.30
2000,50-54 years,Female,1284.40
2000,50-54 years,Both,1763.10
2000,55-59 years,Male,2929.10
2000,55-59 years,Female,1720.90
2000,55-59 years,Both,2292.00
2000,60-64 years,Male,4320.80
2000,60-64 years,Female,2754.80
2000,60-64 years,Both,3482.90
2000,65-69 years,Male,5628.40
2000,65-69 years,Female,4163.50
2000,65-69 years,Both,4831.30
2000,70-74 years,Male,7789.80
2000,70-74 years,Female,6064.70
2000,70-74 years,Both,6830.80
2000,75-79 years,Male,10265.20
2000,75-79 years,Female,8517.20
2000,75-79 years,Both,9263.60
2000,80+ years,Male,15284.50
2000,80+ years,Female,13837.60
2000,80+ years,Both,14399.10
2000,All ages,Male,1612.80
2000,All ages,Female,1257.70
2000,All ages,Both,1433.10
2010,0-6 days,Male,91076.80
2010,0-6 days,Female,78578.50
2010,0-6 days,Both,84916.50
2010,7-27 days,Male,14385.30
2010,7-27 days,Female,12978.30
