Date,Open,High,Low,Close,Adj Close,Volume
1/5/2021,128.889999390,131.740005493,128.429992676,131.009994507,128.736404419,97664900
1/6/2021,127.720001221,131.050003052,126.379997253,126.599998474,124.402908325,155088000
1/7/2021,128.360000610,131.630004883,127.860000610,130.919998169,128.647933960,109578200
1/8/2021,132.429992676,132.630004883,130.229995728,132.050003052,129.758346558,105158200
1/11/2021,129.190002441,130.169998169,128.500000000,128.979995728,126.741600037,100384500
1/12/2021,128.500000000,129.690002441,126.860000610,128.800003052,126.564758301,91951100
1/13/2021,128.759994507,131.449996948,128.490005493,130.889999390,128.618453979,88636800
1/14/2021,130.800003052,131.000000000,128.759994507,128.910003662,126.672836304,90221800
1/15/2021,128.779998779,130.220001221,127.000000000,127.139999390,124.933547974,111598500
1/19/2021,127.779998779,128.710006714,126.940002441,127.830001831,125.611579895,90757300
1/20/2021,128.660003662,132.490005493,128.550003052,132.029998779,129.738677979,104319500
1/21/2021,133.800003052,139.669998169,133.589996338,136.869995117,134.494689941,120150900
1/22/2021,136.279998779,139.850006104,135.020004272,139.070007324,136.656539917,114459400
1/25/2021,143.070007324,145.089996338,136.539993286,142.919998169,140.439682007,157611700
1/26/2021,143.600006104,144.300003052,141.369995117,143.160003662,140.675552368,98390600
1/27/2021,143.429992676,144.300003052,140.410003662,142.059997559,139.594619751,140843800
1/28/2021,139.520004272,141.990005493,136.699996948,137.089996338,134.710876465,142621100
1/29/2021,135.830001831,136.740005493,130.210006714,131.960006714,129.669921875,177523800
2/1/2021,133.750000000,135.380004883,130.929992676,134.139999390,131.812072754,106239800
2/2/2021,135.729995728,136.309997559,134.610000610,134.990005493,132.647323608,83305400
2/3/2021,135.759994507,135.770004272,133.610000610,133.940002441,131.615539551,89880900
2/4/2021,136.300003052,137.399993896,134.589996338,137.389999390,135.005661011,84183100
2/5/2021,137.350006104,137.419998169,135.860000610,136.759994507,134.587417603,75693800
2/8/2021,136.029998779,136.960006714,134.919998169,136.910003662,134.735000610,71297200
2/9/2021,136.619995117,137.880004883,135.850006104,136.009994507,133.849319458,76774200
2/10/2021,136.479995728,136.990005493,134.399993896,135.389999390,133.239181519,73046600
2/11/2021,135.899993896,136.389999390,133.770004272,135.130004883,132.983306885,64280000
2/12/2021,134.350006104,135.529998779,133.690002441,135.369995117,133.219482422,60145100
2/16/2021,135.490005493,136.009994507,132.789993286,133.190002441,131.074142456,80576300
2/17/2021,131.250000000,132.220001221,129.470001221,130.839996338,128.761459351,97918500
2/18/2021,129.199996948,130.000000000,127.410003662,129.710006714,127.649406433,96856700
2/19/2021,130.240005493,130.710006714,128.800003052,129.869995117,127.806869507,87668800
2/22/2021,128.009994507,129.720001221,125.599998474,126.000000000,123.998344421,103916400
2/23/2021,123.760002136,126.709999084,118.389999390,125.860000610,123.860580444,158273000
2/24/2021,124.940002441,125.559997559,122.230003357,125.349998474,123.358673096,111039900
2/25/2021,124.680000305,126.459999084,120.540000916,120.989997864,119.067932129,148199500
2/26/2021,122.589996338,124.849998474,121.199996948,121.260002136,119.333648682,164560400
3/1/2021,123.750000000,127.930000305,122.790000916,127.790000916,125.759925842,116307900
